,mixed,background,foreground,count
"(0, 0, 248, 240, 232, 232)",[255 255 252],[237 234 229],[273. 276. 275.],1
"(248, 0, 0, 240, 232, 240)",[251 255 254],[240 235 237],[262. 275. 271.],1
"(0, 248, 0, 240, 232, 224)",[255 252 255],[239 233 226],[271. 271. 284.],1
"(0, 248, 0, 240, 232, 232)",[255 252 255],[237 236 232],[273. 268. 278.],5
"(0, 248, 0, 232, 224, 232)",[255 252 255],[232 227 229],[278. 277. 281.],1
"(0, 248, 0, 240, 240, 232)",[255 251 255],[241 240 236],[269. 262. 274.],1
"(208, 112, 208, 208, 16, 192)",[208 109 207],[208  18 191],[208. 200. 223.],1
"(224, 120, 208, 200, 24, 184)",[223 124 210],[197  23 185],[249. 225. 235.],4
"(0, 0, 0, 0, 0, 240)",[255 255 254],[255 255 244],[255. 255. 264.],1
"(248, 0, 248, 0, 0, 248)",[252 254 248],[255 255 252],[761. 765. 756.],1
"(224, 160, 224, 216, 96, 208)",[226 159 228],[219  98 212],[233. 220. 244.],4
"(224, 152, 224, 200, 24, 184)",[227 152 228],[197  23 185],[257. 281. 271.],2
"(224, 144, 224, 192, 24, 192)",[224 147 221],[193  26 189],[255. 268. 253.],1
"(224, 152, 224, 208, 88, 208)",[221 151 221],[212  89 207],[230. 213. 235.],1
"(224, 160, 224, 208, 88, 208)",[226 159 228],[212  89 207],[240. 229. 249.],2
"(248, 0, 0, 232, 240, 232)",[252 254 254],[235 239 233],[269. 269. 275.],1
"(248, 0, 0, 240, 240, 232)",[250 255 254],[239 243 232],[261. 267. 276.],1
"(224, 160, 224, 216, 104, 216)",[226 159 228],[213 101 219],[239. 217. 237.],1
"(232, 240, 232, 248, 248, 248)",[236 237 235],[251 247 252],[733. 739. 730.],1
"(232, 232, 232, 248, 248, 0)",[234 234 234],[250 250 255],[730. 730. 725.],1
"(232, 240, 232, 232, 232, 232)",[236 237 235],[231 235 230],[241. 239. 240.],1
"(248, 248, 248, 248, 240, 248)",[249 249 249],[247 244 246],[251. 254. 252.],1
"(240, 248, 240, 232, 232, 232)",[244 245 243],[231 235 230],[257. 255. 256.],1
"(240, 240, 240, 248, 248, 240)",[241 240 242],[247 248 244],[747. 744. 752.],1
"(192, 192, 192, 0, 0, 0)",[193 193 193],[255 255 255],[643. 643. 643.],78
"(200, 200, 200, 0, 0, 0)",[199 199 199],[255 255 255],[655. 655. 655.],12
"(184, 184, 184, 0, 0, 0)",[188 188 188],[255 255 255],[633. 633. 633.],5
"(208, 208, 208, 0, 0, 0)",[205 205 205],[255 255 255],[667. 667. 667.],7
"(0, 0, 0, 192, 192, 192)",[255 255 255],[196 196 196],[314. 314. 314.],86
"(0, 0, 0, 200, 200, 200)",[255 255 255],[197 197 197],[313. 313. 313.],6
"(200, 200, 200, 192, 192, 192)",[199 199 199],[193 193 193],[205. 205. 205.],7
"(192, 192, 192, 192, 192, 192)",[189 189 189],[196 196 196],[694. 694. 694.],53
"(232, 232, 232, 192, 192, 192)",[230 230 230],[193 193 193],[267. 267. 267.],3
"(192, 192, 192, 200, 200, 200)",[196 196 196],[199 199 199],[705. 705. 705.],5
"(200, 200, 200, 200, 200, 200)",[200 200 200],[199 199 199],[201. 201. 201.],1
"(192, 192, 192, 232, 232, 232)",[194 194 194],[230 230 230],[670. 670. 670.],3
"(240, 240, 240, 192, 192, 192)",[239 239 239],[189 189 189],[289. 289. 289.],7
"(192, 192, 192, 240, 240, 240)",[196 196 196],[239 239 239],[665. 665. 665.],5
"(184, 184, 184, 192, 192, 192)",[186 186 186],[190 190 190],[694. 694. 694.],5
"(232, 232, 232, 184, 184, 184)",[236 236 236],[186 186 186],[286. 286. 286.],1
"(192, 192, 192, 184, 184, 184)",[193 193 193],[185 185 185],[201. 201. 201.],6
"(192, 192, 192, 208, 208, 208)",[193 193 193],[206 206 206],[692. 692. 692.],7
"(216, 216, 216, 192, 192, 192)",[215 215 215],[189 189 189],[241. 241. 241.],1
"(192, 192, 192, 224, 224, 224)",[192 192 192],[224 224 224],[672. 672. 672.],3
